sale_id,customer_id,product_id,date_id,region_id,quantity,unit_price,discount_pct
1,406,1029,20241219,2,1,4450.65,20
2,94,1047,20241130,3,1,2562.12,0
3,145,1042,20240115,4,1,3038.37,15
4,407,1012,20240331,5,1,1081.37,0
5,323,1001,20240712,5,1,16853.43,0
6,417,1003,20240706,5,1,7191.38,0
7,27,1016,20241026,1,4,3687.35,20
8,126,1037,20240710,5,1,8615.47,15
9,252,1001,20240411,1,1,20875.54,0
10,253,1018,20240525,1,1,5764.77,10
11,304,1029,20240124,2,1,2526.29,0
12,51,1015,20240315,4,4,8796.97,10
13,325,1046,20240403,4,1,1516.91,15
14,383,1047,20240131,1,1,2966.04,15
15,178,1033,20240503,4,1,6237.89,0
16,303,1020,20241103,4,3,7250.1,0
17,430,1027,20241121,2,3,1299.0,15
18,374,1027,20240803,4,2,1687.43,20
19,225,1014,20240414,4,2,6869.02,10
20,49,1019,20240509,5,1,6025.15,10
21,80,1022,20240618,1,1,1611.52,0
22,448,1022,20240202,5,5,1781.52,0
23,482,1045,20240611,5,4,484.23,0
24,280,1007,20240604,3,1,5008.93,0
25,30,1043,20240312,4,1,1562.19,0
26,254,1008,20241103,2,2,1523.06,0
27,257,1045,20240825,2,2,3747.79,10
28,267,1030,20241019,1,1,2319.09,10
29,136,1012,20240101,5,1,7519.1,0
30,292,1039,20240809,4,1,6975.05,0
31,23,1033,20240721,1,3,4262.66,0
32,327,1009,20240111,5,2,23923.28,5
33,98,1033,20241209,3,2,4007.01,20
34,251,1050,20240914,4,5,1185.71,15
35,293,1049,20240418,3,4,3339.41,25
36,258,1039,20240908,3,1,9336.32,5
37,268,1010,20240325,5,2,2013.0,10
38,416,1043,20240624,1,1,868.34,0
39,418,1029,20240730,4,1,4701.88,10
40,123,1015,20240519,5,1,4999.35,0
41,348,1013,20240907,2,2,5973.42,10
42,25,1022,20240111,5,2,1432.63,0
43,292,1001,20241105,2,1,22778.99,0
44,241,1029,20240317,5,2,3041.29,0
45,190,1006,20240704,1,1,29523.25,0
46,246,1028,20240818,3,1,1642.09,0
47,385,1048,20240714,3,3,3953.25,0
48,472,1021,20241218,3,2,705.59,0
49,329,1040,20240519,4,3,3737.25,0
50,166,1006,20240202,4,1,23135.19,5
51,177,1040,20240708,3,3,6387.38,10
52,145,1004,20240628,5,3,20222.36,5
53,272,1008,20240810,1,4,10217.96,0
54,460,1046,20240123,2,4,710.01,10
55,382,1014,20240106,4,2,6897.72,15
56,386,1036,20241205,2,1,3158.32,0
57,81,1041,20240122,1,2,1447.12,25
58,486,1003,20240323,4,3,13837.67,0
59,323,1006,20240304,4,1,26439.41,0
60,26,1035,20240809,5,1,2711.44,15
61,489,1024,20240727,3,1,2757.85,0
62,85,1015,20241110,1,3,3608.63,5
63,211,1042,20240831,4,1,2080.79,5
64,372,1038,20240617,2,2,6068.26,5
65,418,1030,20241021,3,4,3577.18,20
66,425,1047,20240212,5,2,1431.11,0
67,388,1022,20240322,1,2,3058.14,10
68,460,1018,20240812,3,2,694.99,5
69,373,1039,20240206,5,1,2283.84,15
70,323,1031,20240727,4,1,2670.42,5
71,99,1004,20240317,4,4,23029.48,0
72,245,1037,20240323,4,1,3978.02,0
73,356,1039,20240706,4,1,4763.79,0
74,220,1030,20240412,2,2,1112.3,15
75,165,1050,20240611,5,3,581.01,5
76,206,1041,20240221,5,2,4049.07,25
77,94,1017,20240911,2,1,1067.32,0
78,74,1005,20240305,5,1,28386.88,0
79,14,1049,20240516,3,2,941.59,0
80,488,1035,20240428,4,3,670.49,0
81,352,1028,20241001,3,1,3419.99,10
82,210,1030,20240608,3,2,2935.02,0
83,4,1031,20241018,4,1,10190.89,10
84,104,1021,20240415,4,4,4880.2,25
85,287,1022,20240114,2,2,3946.89,10
86,409,1044,20240828,5,1,380.64,0
87,304,1044,20241101,2,2,1015.69,0
88,150,1002,20240121,2,1,4448.73,0
89,120,1026,20240624,5,5,4592.29,0
90,33,1002,20241207,5,3,21074.3,0
91,267,1048,20240106,5,2,424.73,0
92,287,1043,20240724,5,5,3468.11,10
93,460,1002,20240327,1,1,12087.6,0
94,479,1003,20240927,2,4,13824.92,0
95,156,1038,20240118,1,1,4866.22,0
96,388,1049,20241011,4,2,2907.34,0
97,259,1028,20241207,1,4,1038.6,5
98,248,1041,20241221,1,1,888.25,5
99,452,1029,20240308,4,4,2732.13,5
100,104,1023,20240315,3,1,3493.99,10
101,451,1024,20240425,4,2,412.65,0
102,444,1004,20240610,4,2,23977.38,5
103,328,1049,20240807,2,2,2650.88,0
104,10,1002,20240717,2,1,10661.55,25
105,7,1002,20240116,4,5,5839.53,0
106,137,1007,20240115,1,3,20521.15,0
107,169,1003,20241120,3,2,26724.96,0
108,58,1050,20241018,4,3,3018.7,15
109,22,1043,20240804,2,4,2770.6,0
110,233,1043,20240201,4,2,2149.36,5
111,67,1006,20240531,5,1,17339.32,0
112,38,1002,20240211,1,2,3578.13,0
113,9,1029,20240323,4,2,1965.34,10
114,499,1035,20240504,4,1,1763.75,0
115,422,1016,20241230,4,1,5163.28,10
116,308,1026,20240925,5,2,3522.47,0
117,115,1007,20240714,1,2,21978.99,0
118,368,1035,20241007,4,1,8289.74,0
119,383,1007,20240419,5,2,28817.29,10
120,313,1009,20240228,2,3,7423.44,0
121,319,1028,20240507,5,2,1862.95,20
122,397,1016,20240829,1,2,3311.4,0
123,355,1017,20240420,1,1,1503.23,0
124,463,1013,20240310,4,4,1650.81,0
125,241,1042,20241017,1,2,437.39,0
126,26,1032,20240730,4,1,930.35,15
127,305,1004,20240805,3,1,7007.78,0
128,126,1001,20240128,3,3,24892.25,0
129,329,1025,20241121,3,4,1900.77,0
130,436,1049,20240414,5,2,2070.33,10
131,61,1033,20240811,1,3,9553.3,15
132,397,1022,20240702,2,4,1753.0,5
133,430,1048,20240101,1,2,506.83,0
134,68,1010,20241211,4,5,24648.96,5
135,439,1040,20240121,3,1,1801.43,0
136,156,1027,20240103,5,2,4029.95,5
137,128,1031,20240625,5,1,9314.25,0
138,256,1030,20241123,4,2,2245.9,10
139,283,1046,20240125,5,1,1230.82,20
140,39,1028,20240328,1,4,1934.65,15
141,3,1031,20240827,4,1,3221.92,0
142,408,1045,20240112,2,2,3034.45,0
143,189,1027,20240314,3,2,1186.78,15
144,497,1002,20240901,5,2,10129.86,0
145,255,1040,20240507,4,1,4918.72,15
146,308,1010,20241113,1,1,15842.4,0
147,59,1001,20241128,4,1,7019.19,15
148,121,1005,20240320,5,3,17096.0,10
149,317,1038,20241109,2,5,7473.45,10
150,223,1002,20240623,4,2,5220.97,15
151,338,1008,20240304,5,3,9179.26,15
152,226,1025,20240115,2,1,3977.13,15
153,229,1050,20240913,1,2,2297.3,20
154,462,1009,20240420,5,2,17609.82,20
155,57,1013,20240111,1,5,681.14,0
156,259,1044,20241029,2,1,1774.84,20
157,84,1007,20240728,2,2,6046.3,0
158,444,1004,20240320,5,5,9095.42,5
159,226,1039,20240801,5,1,4379.5,20
160,16,1039,20240327,5,1,1928.13,0
161,238,1022,20240809,2,2,942.37,20
162,147,1033,20240510,2,1,11338.79,0
163,425,1036,20240304,1,3,2558.71,0
164,225,1012,20241006,3,1,4474.15,0
165,271,1050,20240920,5,1,3363.54,0
166,275,1029,20240505,5,2,1888.24,0
167,78,1047,20240918,1,3,2804.94,5
168,6,1042,20240107,5,1,985.64,15
169,443,1024,20240621,4,2,3338.91,0
170,52,1003,20240212,4,5,13513.89,0
171,444,1007,20240129,5,2,16974.82,5
172,3,1034,20240416,5,1,1669.4,5
173,38,1030,20241022,5,1,1788.95,0
174,366,1036,20241010,2,3,6833.04,10
175,6,1007,20240120,3,2,30757.78,0
176,285,1045,20240415,2,1,2555.99,0
177,426,1049,20240826,1,3,1681.29,15
178,405,1015,20240209,5,2,1088.62,0
179,189,1008,20240620,4,1,23974.79,0
180,218,1010,20241223,5,1,33280.71,5
181,335,1046,20241111,1,2,3083.65,15
182,100,1008,20240527,3,2,6717.44,0
183,362,1046,20240911,2,2,1801.27,0
184,62,1039,20240902,2,1,1981.71,0
185,323,1037,20240815,3,1,10327.01,5
186,2,1050,20240526,1,2,564.19,0
187,11,1045,20240128,5,4,2887.67,0
188,352,1032,20240729,1,2,8587.06,25
189,206,1036,20241130,4,3,1965.07,0
190,358,1019,20240310,4,1,4217.14,10
191,468,1026,20240731,5,1,4114.21,0
192,256,1024,20241013,3,2,3541.78,5
193,280,1028,20240526,2,1,1258.87,0
194,301,1005,20240724,2,4,8083.54,0
195,6,1050,20240510,1,5,1919.33,0
196,256,1025,20240307,1,1,2254.19,5
197,299,1020,20240730,3,1,1710.51,0
198,334,1048,20240826,5,2,1580.35,0
199,374,1018,20240216,2,2,6204.9,10
200,160,1013,20240509,3,3,4852.62,10
201,15,1005,20240430,3,1,12695.79,10
202,348,1039,20240607,5,1,242.83,0
203,216,1038,20240820,1,3,5786.53,10
204,322,1009,20240131,2,2,11813.32,0
205,244,1021,20240819,4,1,3124.71,0
206,175,1003,20240413,3,4,8312.52,5
207,19,1001,20241119,1,1,23316.4,20
208,88,1008,20240216,5,3,24093.2,25
209,230,1045,20241012,1,1,1542.16,5
210,461,1015,20240706,2,4,5230.23,5
211,164,1047,20240130,3,1,670.0,15
212,478,1002,20241113,3,1,28050.14,0
213,143,1030,20240527,4,1,4700.93,0
214,14,1043,20240212,2,1,1856.41,0
215,333,1037,20241221,3,1,7259.37,5
216,315,1008,20240522,1,2,5160.71,5
217,487,1017,20241014,4,2,2550.63,0
218,259,1030,20240427,4,1,4310.67,20
219,225,1023,20240814,5,1,3042.55,0
220,62,1010,20240102,3,3,26668.63,0
221,412,1015,20240607,1,1,7493.08,0
222,45,1018,20240317,2,3,1481.2,0
223,171,1003,20240911,1,4,24846.56,10
224,59,1049,20240721,2,2,1690.8,15
225,88,1005,20240906,2,4,15292.82,0
226,104,1027,20241208,3,1,925.06,5
227,465,1049,20241010,5,3,3028.89,0
228,270,1046,20241120,1,3,371.61,15
229,388,1040,20240619,4,1,9018.3,10
230,422,1043,20240909,3,2,449.27,25
231,26,1036,20240521,2,5,2479.51,0
232,150,1020,20240508,4,1,891.16,0
233,247,1002,20240317,2,2,23433.49,0
234,23,1002,20240331,5,3,14233.03,0
235,132,1024,20240403,2,2,1481.67,10
236,157,1005,20241221,3,3,28140.2,0
237,315,1040,20240605,2,2,12014.19,0
238,280,1025,20241103,5,3,2191.63,0
239,22,1015,20240914,3,2,4364.62,15
